item_template_id,template_label,game_type,axis,fine_skill,config_context_id,attempts,students,tests,accuracy,slow_rate,sparse_template,num_digits,complexity_level,operation,skill_subtype,boundary_type,comparison_type,order_direction,sequence_length
identify_place_value__2digits__all_digits_distinct,identify place value | PlaceValue | PlaceValue | 2 digits,identify_place_value,number_sense,place_value_identification,identify_place_value__cfg_range2,38,10,1,0.9736842105263158,0.0,False,2,easy,,PlaceValue,,,,
choose_answer__Multiplication__OneStepProblem__2digits__3options,choose answer | OneStepProblem | Multiplication | OneStepProblem | 2 digits,choose_answer,arithmetic_fluency,operation_identification_from_context,choose_answer__cfg_range3__ops_Addition-Subtraction-Multiplication-Division__options3,34,10,1,0.7058823529411765,0.29411764705882354,False,2,easy,Multiplication,OneStepProblem,,,,
choose_answer__Multiplication__OneStepProblem__2digits__3options,choose answer | OneStepProblem | Multiplication | OneStepProblem | 2 digits,choose_answer,number_sense,operation_identification_from_context,choose_answer__cfg_range3__ops_Addition-Subtraction-Multiplication-Division__options3,34,10,1,0.7058823529411765,0.29411764705882354,False,2,easy,Multiplication,OneStepProblem,,,,
choose_answer__Multiplication__OneStepProblem__2digits__3options,choose answer | OneStepProblem | Multiplication | OneStepProblem | 2 digits,choose_answer,sequential_thinking,operation_identification_from_context,choose_answer__cfg_range3__ops_Addition-Subtraction-Multiplication-Division__options3,34,10,1,0.7058823529411765,0.29411764705882354,False,2,easy,Multiplication,OneStepProblem,,,,
what_number_do_you_hear__1digits__3options,what number do you hear | HeardNumberChoice | AudioRecognition | 1 digits,what_number_do_you_hear,audio_recognition,auditory_number_recognition,what_number_do_you_hear__cfg_range6,32,6,1,1.0,0.0,False,1,very-easy,,HeardNumberChoice,,,,
find_previous_next_number__3digits__normal_range,find previous next number | PreviousAndNext | Sequence | normal_range | 3 digits,find_previous_next_number,sequential_thinking,previous_next_number,find_previous_next_number__cfg_range3,24,12,2,0.9166666666666666,0.0,False,3,medium,,PreviousAndNext,normal_range,,,
find_previous_next_number__5digits__normal_range,find previous next number | PreviousAndNext | Sequence | normal_range | 5 digits,find_previous_next_number,sequential_thinking,previous_next_number,find_previous_next_number__cfg_range5,16,6,1,1.0,0.0625,False,5,hard,,PreviousAndNext,normal_range,,,
compare_numbers__Equal__3digits,compare numbers | Equal | Comparison | Equal | 3 digits,compare_numbers,comparison_skill,number_comparison,compare_numbers__cfg_range3,13,13,2,1.0,0.0,False,3,medium,,Equal,,Equal,,
compare_numbers__Greater__3digits,compare numbers | Greater | Comparison | Greater | 3 digits,compare_numbers,comparison_skill,number_comparison,compare_numbers__cfg_range3,13,13,2,0.8461538461538461,0.23076923076923078,False,3,medium,,Greater,,Greater,,
compare_numbers__Less__3digits,compare numbers | Less | Comparison | Less | 3 digits,compare_numbers,comparison_skill,number_comparison,compare_numbers__cfg_range3,13,13,2,1.0,0.15384615384615385,False,3,medium,,Less,,Less,,
