student_id,assessment_id,assessment_status,weakness_type,mistake_type,skill,game_type,supporting_item_count,operation,skill_subtype,question_type,format,num_digits,complexity_level,difficulty_zone,examples,expected,given,operations_expected,operations_used
stu_1776848582102_8186,test_1776848340577_ghi7b5y,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,100-109,[105],,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,460-469,[463],,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,0-9,[8],,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,40-49,[42],,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,completed_original,WrongAnswer,ReversedSign,Comparison,compare_numbers,1,,,Comparison,Horizontal,3,hard,,,,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,completed_original,WrongAnswer,ReversedSign,Comparison,compare_numbers,1,,,Comparison,Horizontal,2,medium,,,,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,completed_original,WrongAnswer,ReversedSign,Comparison,compare_numbers,1,,,Comparison,Horizontal,2,easy,,,,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,880-889,[882],,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,80-89,[82],,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,completed_original,WrongAnswer,ReversedDescending,Ordering,order_numbers,1,,,Ordering,Visual,3,medium,,,,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,completed_original,WrongAnswer,ReversedAscending,Ordering,order_numbers,1,,,Ordering,Visual,3,hard,,,,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,completed_original,WrongAnswer,ReversedDescending,Ordering,order_numbers,1,,,Ordering,Visual,2,medium,,,,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,completed_original,WrongAnswer,MultipleMisplacements,Ordering,order_numbers,1,,,Ordering,Visual,2,medium,,,,,,
stu_1776848878846_8648,test_1776848340577_ghi7b5y,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,290-299,[293],,,,
stu_1776848878846_8648,test_1776848340577_ghi7b5y,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,820-829,[827],,,,
stu_1776848878846_8648,test_1776848340577_ghi7b5y,completed_original,WrongAnswer,MultipleMisplacements,Ordering,order_numbers,1,,,Ordering,Visual,2,medium,,,,,,
stu_1776848878846_8648,test_1776848340577_ghi7b5y,completed_original,WrongAnswer,,SimpleAddition,vertical_operations,1,Addition,SimpleAddition,,Vertical,2,easy,,,,,,
stu_1776848878846_8648,test_1776848340577_ghi7b5y,completed_original,,DigitLengthMistake,NumberRecognitionByAudio,what_number_do_you_hear,1,,,NumberRecognitionByAudio,,,,,[0],,,,
stu_1776848879378_2063,test_1776848340577_ghi7b5y,completed_original,,TensTransitionMistake,,find_previous_next_number,1,,,,,,,,[990],,,,
stu_1776848879378_2063,test_1776848340577_ghi7b5y,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,70-79,[74],,,,
stu_1776848879378_2063,test_1776848340577_ghi7b5y,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,990-999,[990],,,,
stu_1776848879378_2063,test_1776848340577_ghi7b5y,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,40-49,[41],,,,
stu_1776848879378_2063,test_1776848340577_ghi7b5y,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,10-19,[19],,,,
stu_1776848879378_2063,test_1776848340577_ghi7b5y,completed_original,WrongAnswer,MultipleMisplacements,Ordering,order_numbers,1,,,Ordering,Visual,3,hard,,,,,,
stu_1776848879823_1392,test_1776848340577_ghi7b5y,partial,,RangeUncertainty,,find_previous_next_number,1,,,,,,,480-489,[484],,,,
stu_1776848879823_1392,test_1776848340577_ghi7b5y,partial,,RangeUncertainty,,find_previous_next_number,1,,,,,,,620-629,[623],,,,
stu_1777023080044_2956,test_1777023978840_kask7x7,completed_original,WrongAnswer,ComputationError,OneStepProblem,choose_answer,1,,,OneStepProblem,Horizontal,3,medium,,,,,"[""Multiplication""]","[""Multiplication""]"
stu_1777023080044_2956,test_1777023978840_kask7x7,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,910-919,[917],,,,
stu_1777023080044_2956,test_1777023978840_kask7x7,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,400-409,[405],,,,
stu_1777023080044_2956,test_1777023978840_kask7x7,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,750-759,[759],,,,
stu_1777023761242_7194,test_1777023978840_kask7x7,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,520-529,[529],,,,
stu_1777023761242_7194,test_1777023978840_kask7x7,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,680-689,[684],,,,
stu_1777023761242_7194,test_1777023978840_kask7x7,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,870-879,[878],,,,
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,WrongAnswer,MisidentifiedOperation,MultiStepProblem,choose_answer,1,,,MultiStepProblem,Horizontal,3,medium,,,,,"[""Subtraction"",""Multiplication""]","[""Subtraction""]"
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,420-429,[428],,,,
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,680-689,[685],,,,
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,840-849,[840],,,,
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,10-19,[17],,,,
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,30-39,[35],,,,
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,,RangeUncertainty,,find_previous_next_number,1,,,,,,,90-99,[94],,,,
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,WrongAnswer,,SubtractionWithBorrow,vertical_operations,1,Subtraction,SubtractionWithBorrow,,Vertical,4,medium,,,,,,
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,WrongAnswer,,SubtractionWithBorrow,vertical_operations,1,Subtraction,SubtractionWithBorrow,,Vertical,4,hard,,,,,,
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,WrongAnswer,,SubtractionWithBorrow,vertical_operations,1,Subtraction,SubtractionWithBorrow,,Vertical,3,medium,,,,,,
stu_1777023761689_8905,test_1777023978840_kask7x7,completed_original,WrongAnswer,MisidentifiedOperation,MultiStepProblem,choose_answer,1,,,MultiStepProblem,Horizontal,3,medium,,,,,"[""Subtraction"",""Multiplication""]","[""Addition""]"
stu_1777023761689_8905,test_1777023978840_kask7x7,completed_original,WrongAnswer,MisidentifiedOperation,OneStepProblem,choose_answer,1,,,OneStepProblem,Horizontal,2,easy,,,,,"[""Multiplication""]","[""Subtraction""]"
stu_1777023761689_8905,test_1777023978840_kask7x7,completed_original,WrongAnswer,MisidentifiedOperation,OneStepProblem,choose_answer,1,,,OneStepProblem,Horizontal,2,easy,,,,,"[""Multiplication""]","[""Addition""]"
stu_1777023761689_8905,test_1777023978840_kask7x7,completed_original,WrongAnswer,MisidentifiedOperation,OneStepProblem,choose_answer,1,,,OneStepProblem,Horizontal,2,easy,,,,,"[""Multiplication""]","[""Addition""]"
stu_1777023761689_8905,test_1777023978840_kask7x7,completed_original,WrongAnswer,MisidentifiedOperation,OneStepProblem,choose_answer,1,,,OneStepProblem,Horizontal,2,easy,,,,,"[""Multiplication""]","[""Addition""]"
stu_1777023761689_8905,test_1777023978840_kask7x7,completed_original,WrongAnswer,MisidentifiedOperation,OneStepProblem,choose_answer,1,,,OneStepProblem,Horizontal,2,easy,,,,,"[""Multiplication""]","[""Division""]"
stu_1777023761689_8905,test_1777023978840_kask7x7,completed_original,WrongAnswer,MisidentifiedOperation,OneStepProblem,choose_answer,1,,,OneStepProblem,Horizontal,2,easy,,,,,"[""Multiplication""]","[""Division""]"
