student_id,test_id,game_type,mistake_type,weakness_type,operation,skill_subtype,question_type,format,num_digits,complexity_level,comparison_type,order_direction,sequence_length,difficulty_zone,count,examples,expected,given,operations_expected,operations_used
stu_1776848582102_8186,test_1776848340577_ghi7b5y,find_previous_next_number,RangeUncertainty,,,,,,,,,,,100–109,1,[105],,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,find_previous_next_number,RangeUncertainty,,,,,,,,,,,460–469,1,[463],,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,find_previous_next_number,RangeUncertainty,,,,,,,,,,,0–9,1,[8],,,,
stu_1776848582102_8186,test_1776848340577_ghi7b5y,find_previous_next_number,RangeUncertainty,,,,,,,,,,,40–49,1,[42],,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,compare_numbers,ReversedSign,WrongAnswer,,,Comparison,Horizontal,3.0,hard,Greater,,,,1,,,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,compare_numbers,ReversedSign,WrongAnswer,,,Comparison,Horizontal,2.0,medium,Greater,,,,1,,,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,compare_numbers,ReversedSign,WrongAnswer,,,Comparison,Horizontal,2.0,easy,Less,,,,1,,,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,find_previous_next_number,RangeUncertainty,,,,,,,,,,,880–889,1,[882],,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,find_previous_next_number,RangeUncertainty,,,,,,,,,,,80–89,1,[82],,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,order_numbers,ReversedDescending,WrongAnswer,,,Ordering,Visual,3.0,medium,,asc,3.0,,1,,,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,order_numbers,ReversedAscending,WrongAnswer,,,Ordering,Visual,3.0,hard,,desc,2.0,,1,,,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,order_numbers,ReversedDescending,WrongAnswer,,,Ordering,Visual,2.0,medium,,asc,3.0,,1,,,,,
stu_1776848747452_2240,test_1776848340577_ghi7b5y,order_numbers,MultipleMisplacements,WrongAnswer,,,Ordering,Visual,2.0,medium,,desc,5.0,,1,,,,,
stu_1776848878846_8648,test_1776848340577_ghi7b5y,find_previous_next_number,RangeUncertainty,,,,,,,,,,,290–299,1,[293],,,,
stu_1776848878846_8648,test_1776848340577_ghi7b5y,find_previous_next_number,RangeUncertainty,,,,,,,,,,,820–829,1,[827],,,,
stu_1776848878846_8648,test_1776848340577_ghi7b5y,order_numbers,MultipleMisplacements,WrongAnswer,,,Ordering,Visual,2.0,medium,,asc,3.0,,1,,,,,
stu_1776848878846_8648,test_1776848340577_ghi7b5y,vertical_operations,ComputationError,WrongAnswer,Addition,SimpleAddition,,Vertical,2.0,easy,,,,,1,,,,,
stu_1776848878846_8648,test_1776848340577_ghi7b5y,what_number_do_you_hear,DigitLengthMistake,,,,NumberRecognitionByAudio,,,,,,,,1,[0],,,,
stu_1776848879378_2063,test_1776848340577_ghi7b5y,find_previous_next_number,TensTransitionMistake,,,,,,,,,,,,1,[990],,,,
stu_1776848879378_2063,test_1776848340577_ghi7b5y,find_previous_next_number,RangeUncertainty,,,,,,,,,,,70–79,1,[74],,,,
stu_1776848879378_2063,test_1776848340577_ghi7b5y,find_previous_next_number,RangeUncertainty,,,,,,,,,,,990–999,1,[990],,,,
stu_1776848879378_2063,test_1776848340577_ghi7b5y,find_previous_next_number,RangeUncertainty,,,,,,,,,,,40–49,1,[41],,,,
stu_1776848879378_2063,test_1776848340577_ghi7b5y,find_previous_next_number,RangeUncertainty,,,,,,,,,,,10–19,1,[19],,,,
