student_id,assessment_id,assessment_status,completion_confidence,completed_original_flag,completed_reconstructed_flag,completion_reason,num_games_passed,total_games,final_game,last_completed_game,item_interactions,weak_skill_count,fuzzy_status,mastery_score,fuzzy_state,evidence_count,started_at,estimated_finished_at,estimated_finished_at_is_reconstructed,estimated_duration_ms,estimated_duration_ms_is_reconstructed
stu_1776848582102_8186,test_1776848340577_ghi7b5y,completed_original,1,1,0,finished=true,4,9,what_number_do_you_hear,,23,4,full_assessment,1,emerging,23,2026-04-22T09:16:22.083Z,2026-04-22T09:31:59.670Z,0,937587,0
stu_1776848747452_2240,test_1776848340577_ghi7b5y,completed_original,1,1,0,finished=true,1,9,what_number_do_you_hear,,14,9,full_assessment,1.4,emerging,14,2026-04-22T09:46:48.063Z,2026-04-22T09:55:59.368Z,0,551305,0
stu_1776848878846_8648,test_1776848340577_ghi7b5y,completed_original,1,1,0,finished=true,8,9,what_number_do_you_hear,,31,5,full_assessment,1,emerging,31,2026-04-22T09:20:24.572Z,2026-04-22T09:42:30.113Z,0,1325541,0
stu_1776848879378_2063,test_1776848340577_ghi7b5y,completed_original,1,1,0,finished=true,3,9,what_number_do_you_hear,,13,6,full_assessment,1.4,emerging,13,2026-04-22T09:49:30.978Z,2026-04-22T09:50:49.341Z,0,78363,0
stu_1776848879823_1392,test_1776848340577_ghi7b5y,partial,0.5,0,0,interaction logs exist but completion criteria not met,,9,what_number_do_you_hear,,15,2,partial_assessment,1,emerging,15,2026-04-22T08:39:01.391Z,2026-04-22T09:53:31.410Z,0,4470019,0
stu_1777023080044_2956,test_1777023978840_kask7x7,completed_original,1,1,0,finished=true,6,6,compare_numbers,,24,4,full_assessment,5.61,proficient,24,2026-04-24T09:46:19.010Z,2026-04-24T11:08:35.647Z,0,4936637,0
stu_1777023761242_7194,test_1777023978840_kask7x7,completed_original,1,1,0,finished=true,6,6,compare_numbers,,20,3,full_assessment,5.61,proficient,20,2026-04-24T09:46:19.070Z,2026-04-24T11:17:17.042Z,0,5457972,0
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,1,1,0,finished=true,6,6,compare_numbers,,27,10,full_assessment,5.61,proficient,27,2026-04-24T09:46:19.129Z,2026-04-28T13:01:20.559Z,0,357301430,0
stu_1777023761689_8905,test_1777023978840_kask7x7,completed_original,1,1,0,finished=true,2,6,compare_numbers,,24,8,full_assessment,1,emerging,24,2026-04-24T09:46:19.188Z,2026-04-24T10:52:24.834Z,0,3965646,0
stu_1777023761689_8905,test_1781049725283_3of3fqe,completed_original,1,1,0,finished=true,3,6,vertical_operations,vertical_operations,47,24,full_assessment,3,developing,47,2026-06-10T00:02:05.627Z,2026-06-10T10:14:25.157Z,0,36739530,0
stu_1777023761898_3121,test_1777023978840_kask7x7,completed_original,1,1,0,finished=true,6,6,compare_numbers,,25,4,full_assessment,5.61,proficient,25,2026-04-24T09:46:19.253Z,2026-04-28T13:04:07.625Z,0,357468372,0
stu_1777023762111_459,test_1777023978840_kask7x7,completed_original,1,1,0,finished=true,6,6,compare_numbers,,20,4,full_assessment,5.61,proficient,20,2026-04-24T09:46:19.312Z,2026-04-24T11:01:32.532Z,0,4513220,0
stu_1777023762305_6832,test_1777023978840_kask7x7,completed_original,1,1,0,finished=true,6,6,compare_numbers,,23,5,full_assessment,5.61,proficient,23,2026-04-24T09:46:19.372Z,2026-04-24T10:49:35.237Z,0,3795865,0
stu_1777023762504_1364,test_1777023978840_kask7x7,completed_original,1,1,0,finished=true,5,6,compare_numbers,,25,6,full_assessment,5.13,proficient,25,2026-04-24T09:46:19.434Z,2026-04-28T13:31:42.162Z,0,359122728,0
stu_1777023762504_1364,test_1781048227348_yh9wms9,completed_reconstructed,0.9,0,1,lastCompletedGame equals final configured mini-game,,4,vertical_operations,vertical_operations,22,9,full_assessment,5,proficient,22,2026-06-09T23:37:07.921Z,2026-06-10T10:12:28.503Z,1,38120582,1
stu_1777023762699_4024,test_1777023978840_kask7x7,completed_original,1,1,0,finished=true,0,6,compare_numbers,,6,2,full_assessment,1.39,emerging,6,2026-04-24T09:46:19.494Z,2026-04-24T10:39:31.876Z,0,3192382,0
stu_1777023762699_4024,test_1781049725283_3of3fqe,completed_original,1,1,0,finished=true,4,6,vertical_operations,vertical_operations,52,12,full_assessment,5.02,proficient,52,2026-06-10T00:02:05.947Z,2026-06-10T10:16:25.089Z,0,36859142,0
stu_1777023762902_7362,test_1777023978840_kask7x7,completed_original,1,1,0,finished=true,6,6,compare_numbers,,20,3,full_assessment,5.16,proficient,20,2026-04-24T09:46:19.559Z,2026-04-24T11:05:22.736Z,0,4743177,0
stu_1777023763129_6667,test_1777023978840_kask7x7,completed_original,1,1,0,finished=true,6,6,compare_numbers,,25,6,full_assessment,5.14,proficient,25,2026-04-24T09:46:19.717Z,2026-04-28T13:37:51.091Z,0,359491374,0
stu_1777340051462_9691,test_1777341418390_7p46nbr,completed_original,1,1,0,finished=true,6,6,vertical_operations,,27,5,full_assessment,1,emerging,27,2026-04-28T01:56:58.519Z,2026-04-28T11:06:28.715Z,0,32970196,0
stu_1777340052046_4165,test_1777341418390_7p46nbr,completed_original,1,1,0,finished=true,6,6,vertical_operations,,31,4,full_assessment,5.12,proficient,31,2026-04-28T01:56:58.685Z,2026-04-28T11:10:55.751Z,0,33237066,0
stu_1777340052233_9667,test_1777341418390_7p46nbr,completed_original,1,1,0,finished=true,6,6,vertical_operations,,27,4,full_assessment,5.1,proficient,27,2026-04-28T01:56:58.741Z,2026-04-28T11:10:06.670Z,0,33187929,0
stu_1777340052756_4794,test_1777341418390_7p46nbr,completed_original,1,1,0,finished=true,1,6,vertical_operations,,17,11,full_assessment,1.37,emerging,17,2026-04-28T01:56:58.905Z,2026-04-28T11:31:10.153Z,0,34451248,0
stu_1777340052928_1612,test_1777341418390_7p46nbr,completed_original,1,1,0,finished=true,6,6,vertical_operations,,27,3,full_assessment,5.12,proficient,27,2026-04-28T01:56:58.959Z,2026-04-28T11:54:22.207Z,0,35843248,0
