pattern,count,student_count,support_students
order_numbers:ReversedAscending -> order_numbers:ReversedAscending,20,4,0.14814814814814814
vertical_operations:ComputationError -> vertical_operations:ComputationError,16,9,0.3333333333333333
read_number_aloud:SpeechNumberReadingError -> read_number_aloud:SpeechNumberReadingError,16,5,0.18518518518518517
choose_answer:ComputationError -> choose_answer:ComputationError,16,3,0.1111111111111111
identify_place_value:PlaceValueMisidentification -> identify_place_value:PlaceValueMisidentification,12,5,0.18518518518518517
order_numbers:ReversedDescending -> order_numbers:ReversedDescending,12,4,0.14814814814814814
choose_answer:ComputationError -> vertical_operations:ComputationError,8,8,0.2962962962962963
choose_answer:MisidentifiedOperation -> choose_answer:ComputationError,5,5,0.18518518518518517
choose_answer:ComputationError -> choose_answer:MisidentifiedOperation,5,5,0.18518518518518517
write_number_in_letters:DigitLengthMistake -> write_number_in_letters:DigitLengthMistake,5,3,0.1111111111111111
find_previous_next_number:RangeUncertainty -> find_previous_next_number:RangeUncertainty,4,1,0.037037037037037035
order_numbers:ReversedDescending -> order_numbers:ReversedAscending,3,3,0.1111111111111111
order_numbers:MultipleMisplacements -> order_numbers:MultipleMisplacements,3,3,0.1111111111111111
identify_place_value:PlaceValueMisidentification -> vertical_operations:ComputationError,3,3,0.1111111111111111
order_numbers:ReversedAscending -> choose_answer:ComputationError,3,3,0.1111111111111111
order_numbers:ReversedAscending -> order_numbers:MultipleMisplacements,3,3,0.1111111111111111
compare_numbers:ReversedSign -> compare_numbers:ReversedSign,3,2,0.07407407407407407
decompose_number:IncorrectValues -> decompose_number:IncorrectValues,3,1,0.037037037037037035
find_previous_next_number:MissingNext -> find_previous_next_number:MissingNext,3,1,0.037037037037037035
order_numbers:ReversedAscending -> order_numbers:ReversedDescending,2,2,0.07407407407407407
order_numbers:ReversedDescending -> order_numbers:MultipleMisplacements,2,2,0.07407407407407407
order_numbers:MultipleMisplacements -> vertical_operations:ComputationError,2,2,0.07407407407407407
order_numbers:MultipleMisplacements -> order_numbers:ReversedDescending,2,2,0.07407407407407407
order_numbers:ReversedDescending -> choose_answer:ComputationError,2,2,0.07407407407407407
find_previous_next_number:RangeUncertainty -> vertical_operations:ComputationError,2,2,0.07407407407407407
order_numbers:MultipleMisplacements -> choose_answer:ComputationError,2,2,0.07407407407407407
choose_answer:MisidentifiedOperation -> choose_answer:MisidentifiedOperation,2,2,0.07407407407407407
read_number_aloud:SpeechNumberReadingError -> vertical_operations:ComputationError,2,2,0.07407407407407407
what_number_do_you_hear:AudioNumberRecognitionError -> what_number_do_you_hear:AudioNumberRecognitionError,2,1,0.037037037037037035
