student_id,assessment_id,assessment_status,fuzzy_status,mastery_score,fuzzy_state,evidence_count,fuzzy_confidence,rule_fires
stu_1776848582102_8186,test_1776848340577_ghi7b5y,completed_original,full_assessment,1,emerging,23,0.93,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1776848747452_2240,test_1776848340577_ghi7b5y,completed_original,full_assessment,1.4,emerging,14,0.93,"{""rG1"":0.4110429447852761,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1776848878846_8648,test_1776848340577_ghi7b5y,completed_original,full_assessment,1,emerging,31,0.93,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1776848879378_2063,test_1776848340577_ghi7b5y,completed_original,full_assessment,1.4,emerging,13,0.93,"{""rG1"":0.4110429447852761,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1776848879823_1392,test_1776848340577_ghi7b5y,partial,partial_assessment,1,emerging,15,0.93,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1777023080044_2956,test_1777023978840_kask7x7,completed_original,full_assessment,5.61,proficient,24,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0.5}"
stu_1777023761242_7194,test_1777023978840_kask7x7,completed_original,full_assessment,5.61,proficient,20,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0.5}"
stu_1777023761468_62,test_1777023978840_kask7x7,completed_original,full_assessment,5.61,proficient,27,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0.5}"
stu_1777023761689_8905,test_1777023978840_kask7x7,completed_original,full_assessment,1,emerging,24,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1777023761689_8905,test_1781049725283_3of3fqe,completed_original,full_assessment,3,developing,47,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0.06666666666666667,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1777023761898_3121,test_1777023978840_kask7x7,completed_original,full_assessment,5.61,proficient,25,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0.5}"
stu_1777023762111_459,test_1777023978840_kask7x7,completed_original,full_assessment,5.61,proficient,20,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0.5}"
stu_1777023762305_6832,test_1777023978840_kask7x7,completed_original,full_assessment,5.61,proficient,23,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0.5}"
